('凌晨四点凝视海棠花，更觉得它美极了。\n它盛放，含有一种哀伤的美。', '川端康成', '花未眠')
('美是邂逅所得，是亲近所得。\n这是需要反复陶冶的。', '川端康成', '花未眠')
('“你连指尖都泛起好看的颜色呢。\n”', '川端康成', '雪国')
('如果一味沉溺在这种思绪里，连岛村自己恐怕也要陷入缥缈的感伤之中，以为生存本身就是一种徒劳。', '川端康成', '雪国')
('昔日你还属于我的时候，我在百货公司买一条领带，或者在厨房持刀收拾一尾方头鱼，我都觉得自己不愧是一个幸福的女人，一股爱的暖流流遍了我的全身。', '川端康成', '抒情歌')
('自从失去你以后，我对花香鸟语索然乏味，对一切都感到落寞虚空。\n天地万物和我的灵魂之间的通道顿时完全被截断了。', '川端康成', '抒情歌')
('我悲伤失去了恋人，但更悲伤失去了一颗爱情的心。', '川端康成', '抒情歌')
('死亡就在我们脚下。\n真可怕啊！\n虽然明知自己脚下就有死，但是我想不能总被母亲的死俘虏，我曾作过种种努力。', '川端康成', '千只鹤')
('这是一束从远方投来的寒光，模模糊糊地照亮了她眼睛的周围。\n她的眼睛同灯光重叠的那一瞬间，就像在夕阳的余晖里飞舞的夜光虫，妖艳而美丽。', '川端康成', '雪国')
('叶子近乎悲戚的优美的声音，仿佛是某座雪山的回音，至今仍然在岛村的耳边萦绕。', '川端康成', '雪国')
('即使靠一支笔沦落于赤贫之中，我微弱而敏感的心灵也已无法和文学分开。', '川端康成', '独影自命')
('如果说，一朵花很美，那么我有时就会不由地自语道：\n要活下去！', '川端康成', '花未眠')
('至少人的一生中感受到的美是有限的，是很有限的，这是我的实际感受，也是我的感叹。\n人感受美的能力，既不是与时代同步前进，也不是伴随年龄而增长。', '川端康成', '花未眠')
('镜面映现的虚像与镜后的实物在晃动，好像电影里的叠影一样。\n出场人物和背景没有任何联系。\n而且人物是一种透明的幻象，景物则是在夜霭中的朦胧暗流，两者消融在一起，描绘出一个超脱人世的象征世界。', '川端康成', '雪国')
('特别是当山野里的灯火映照在姑娘的脸上时，那种无法形容的美，使岛村的心都几乎为之颤动。', '川端康成', '雪国')
('自然的美是无限的。\n人感受到的美却是有限的，正因为人感受美的能力是有限的，所以说人感受到的美是有限的，自然的美是无限的。', '川端康成', '花未眠')
('“我说过，人都是上帝的孩子，都是弃儿嘛……”真一稍稍加强语气说。\n“别说得那么玄妙啦。\n我不是上帝的弃儿，而是被生身父母遗弃的孩儿。\n”', '川端康成', '古都')
('人就像是上帝的孩子，先遗弃再来拯救。', '川端康成', '古都')
('繁星移近眼前，把夜空越推越远，夜色也越来越深沉。\n县界的山峦已经层次不清，显得更加黑苍苍的，沉重地垂在星空的边际。\n这是一片清寒、静谧的和谐气氛。', '川端康成', '雪国')
('这是一幅严寒的夜景，仿佛可以听到整个冰封雪冻的地壳深处响起冰裂声。\n没有月亮。\n抬头仰望，满天星斗，多得令人难以置信。\n星辰闪闪竞耀，好像以虚幻的速度慢慢坠落下来。', '川端康成', '雪国')
('被蒙蒙细雨打湿的竹林，宛如一群绿色的长毛羊，正耷拉下脑袋在宁静地休憩。', '川端康成', '春天的景色')
('也许是旭日东升了，镜中的雪愈发耀眼，活像燃烧的火焰。', '川端康成', '雪国')
('是罪孽的话，也许就不会消失，而悲伤则会过去的。', '川端康成', '千只鹤')
('感情这种东西已经不可信赖。\n如今世道变成这个样子，越是有才能的人，感情就越脆弱。', '川端康成', '花的圆舞曲')
('即使是恋爱，只要将这种意志坚持到底，纵然失败也不至于酿成悲剧，就能昂然挺立，通向彼岸。\n我不会后悔，我要毫无遗憾地生活！', '川端康成', '花的圆舞曲')
('缀满银河的星辰，耀光点点，清晰可见，连一朵朵光亮的云彩，看起来也像粒粒银沙子，明澈极了。', '川端康成', '雪国')
('我思索着这样一个问题：\n人是不断地消失在过去的日子里的。', '川端康成', '十六岁的日记')
('虽然她并不自觉，但她总是以大自然的峡谷作为自己的听众，孤独地练习弹奏。\n久而久之，她的弹拨自然就有力量。\n这种孤独驱散了哀愁，蕴含着一种豪放的意志。', '川端康成', '雪国')
('月儿皎洁得如同一把放在晶莹的冰块上的刀。', '川端康成', '雪国')
('在遥远的山巅上空，还淡淡地残留着晚霞的余晖。\n透过车窗玻璃看见的景物轮廓，退到远方，却没有消逝，但已经黯然失色。\n尽管火车继续往前奔驰，在他看来，山野那平凡的姿态显得更加平凡。', '川端康成', '雪国')
('由于什么东西都不十分惹他注目，他内心反而好像隐隐地存在着一股巨大的感情激流。\n这自然是由于镜中浮现出姑娘的脸的缘故。', '川端康成', '雪国')
('就在此时，雪夜的宁静沁人心脾，那是因为被女子吸引住了。', '川端康成', '雪国')
('与其说昏暗而看不见，毋宁说在黑暗中的记忆里见得更清楚。', '川端康成', '千只鹤')
('穿过县界长长的隧道，便是雪国。\n夜空下一片白茫茫。', '川端康成', '雪国')
('这是一种错觉。\n因为从姑娘面影后面不停地掠过的暮景，仿佛是从她脸的前面流过。\n定睛细看，却又扑朔迷离。', '川端康成', '雪国')
('他渐渐地忘却了镜子的存在，只觉得姑娘好像漂浮在流逝的暮景之中。', '川端康成', '雪国')
('山脚下的河流，仿佛是从杉树顶梢流出来的。', '川端康成', '雪国')
('仿佛空气也染上了绚烂的色彩，直渗到人们的心间。', '川端康成', '古都')
('茫茫的银河悬在眼前，仿佛要以它那赤裸裸的身体拥抱夜色苍茫的大地。', '川端康成', '雪国')
('也许越亲近、越深爱的人，就越难描绘出来。\n而越丑恶的东西，就越容易明确地留在记忆里。', '川端康成', '千只鹤')
('在迷濛的雨中，对面的层峦和山麓的屋顶浮现了出来。', '川端康成', '雪国')
('要是没有剧场的墙壁，没有听众，也没有都市的尘埃，琴声就会透过冬日澄澈的晨空，畅通无阻地响彻远方积雪的群山。', '川端康成', '雪国')
('待岛村站稳了脚跟，抬头望去，银河好像哗啦一声，向他的心坎上倾泻了下来。', '川端康成', '雪国')
('搬到窗边的梳妆台，镜里映现出披上红叶的重山叠峦。\n镜中的秋阳，明亮耀眼。', '川端康成', '雪国')
