good	好的	/ɡʊd/
english	英语	/ˈɪŋɡlɪʃ/
morning	早上	/ˈmɔːrnɪŋ/
hi	嗨	/haɪ/
hello	你好	/həˈloʊ/
afternoon	下午	/ˌæftərˈnuːn/
evening	晚上	/ˈiːvnɪŋ/
how	怎么样	/haʊ/
are	是	/ɑːr/
you	你	/juː/
i	我	/aɪ/
am	是	/æm/
fine	好	/faɪn/
thanks	谢谢	/θæŋks/
ok	好	/oʊˈkeɪ/
what	什么	/wɑːt/
is	是	/ɪz/
this	这个	/ðɪs/
in	在	/ɪn/
map	地图	/mæp/
cup	杯子	/kʌp/
ruler	尺子	/ˈruːlər/
pen	钢笔	/pɛn/
orange	橙子	/ˈɔːrɪndʒ/
key	钥匙	/kiː/
it	它	/ɪt/
a	一个	/eɪ/
that	那个	/ðæt/
spell	拼写	/spɛl/
please	请	/pliːz/
color	颜色	/ˈkʌlər/
red	红色	/rɛd/
yellow	黄色	/ˈjɛloʊ/
green	绿色	/ɡriːn/
blue	蓝色	/bluː/
black	黑色	/blæk/
white	白色	/waɪt/
purple	紫色	/ˈpɜːrpl̩/
brown	棕色	/braʊn/
the	这	/ðə/
now	现在	/naʊ/
see	看	/siː/
can	能	/kæn/
say	说	/seɪ/
my	我的	/maɪ/
name	名字	/neɪm/
nice	好	/naɪs/
to	到	/tuː/
meet	见面	/mit/
too	也	/tuː/
your	你的	/jɔːr/
his	他的	/hɪz/
and	和	/ænd/
her	她的	/hɜːr/
yes	是的	/jɛs/
she	她	/ʃiː/
he	他	/hiː/
no	不	/noʊ/
not	不	/nɑːt/
zero	零	/ˈziːroʊ/
one	一	/wʌn/
two	二	/tuː/
three	三	/θriː/
four	四	/fɔːr/
five	五	/faɪv/
six	六	/sɪks/
seven	七	/ˈsɛvən/
eight	八	/eɪt/
nine	九	/naɪn/
telephone	电话	/ˈtɛləfoʊn/
number	号码	/ˈnʌmbər/
phone	手机	/foʊn/
first	第一	/fɜːrst/
last	最后	/læst/
friend	朋友	/frɛnd/
china	中国	/ˈtʃaɪnə/
middle	中间	/ˈmɪdl/
school	学校	/skuːl/
sister	姐妹	/ˈsɪstər/
mother	母亲	/ˈmʌðər/
father	父亲	/ˈfɑːðər/
parent	父母	/ˈpɛrənt/
brother	兄弟	/ˈbrʌðər/
grandmother	祖母	/ˈɡrændˌmʌðər/
grandfather	祖父	/ˈɡrændˌfɑːðər/
grandparent	祖父母	/ˈɡrændˌpɛrənt/
family	家庭	/ˈfæməli/
those	那些	/ðoʊz/
who	谁	/huː/
oh	哦	/oʊ/
these	这些	/ðiz/
they	他们	/ðeɪ/
well	好	/wɛl/
have	有	/hæv/
bye	再见	/baɪ/
son	儿子	/sʌn/
grandpa	爷爷	/ˈɡrændˌpɑː/
mom	妈妈	/mɑːm/
grandma	奶奶	/ˈɡrændˌmɑː/
dad	爸爸	/dæd/
daughter	女儿	/ˈdɔːtər/
here	这里	/hɪr/
photo	照片	/ˈfoʊtoʊ/
of	的	/əv/
next	下一个	/nɛkst/
picture	图片	/ˈpɪktʃər/
girl	女孩	/ɡɜːrl/
dog	狗	/dɔːɡ/
book	书	/bʊk/
eraser	橡皮	/ɪˈreɪsər/
box	盒子	/bɒks/
pencil	铅笔	/ˈpɛnsəl/
schoolbag	书包	/ˈskulbæɡ/
dictionary	字典	/ˈdɪkʃəˌnɛri/
mine	我的	/maɪn/
hers	她的	/hɜːrz/
excuse	借口	/ɪkˈskjuːs/
me	我	/miː/
thank	感谢	/θæŋk/
teacher	老师	/ˈtitʃər/
about	关于	/əˈbaʊt/
yours	你的	/jʊrz/
for	为了	/fɔːr/
help	帮助	/hɛlp/
welcome	欢迎	/ˈwɛlkəm/
baseball	棒球	/ˈbeɪsˌbɔːl/
watch	手表	/wɑːtʃ/
computer	电脑	/kəmˈpjuːtər/
game	游戏	/ɡeɪm/
card	卡片	/kɑːrd/
id	身份证	/aɪˈdiː/
notebook	笔记本	/ˈnoʊtˌbʊk/
bag	袋子	/bæɡ/
library	图书馆	/ˈlaɪˌbrɛri/
ask	问	/æsk/
find	找到	/faɪnd/
some	一些	/sʌm/
classroom	教室	/ˈklæsˌrum/
e-mail	电子邮件	/ˈiːˌmeɪl/
at	在	/æt/
call	打电话	/kɔːl/
lost	丢失	/lɔːst/
must	必须	/mʌst/
set	设置	/sɛt/
where	哪里	/wɛr/
table	桌子	/ˈteɪbəl/
bed	床	/bɛd/
sofa	沙发	/ˈsoʊfə/
chair	椅子	/tʃɛr/
on	在...上	/ɒn/
under	在...下面	/ˈʌndər/
come	来	/kʌm/
desk	书桌	/dɛsk/
think	想	/θɪŋk/
room	房间	/ruːm/
their	他们的	/ðɛr/
hat	帽子	/hæt/
head	头	/hɛd/
yeah	是的	/jɛə/
know	知道	/noʊ/
radio	收音机	/ˈreɪdioʊ/
clock	时钟	/klɑːk/
player	玩家	/ˈpleɪər/
tape	磁带	/teɪp/
model	模型	/ˈmɑːdəl/
plane	飞机	/pleɪn/
but	但是	/bʌt/
our	我们的	/aʊər/
everywhere	到处	/ˈɛvriwɛr/
always	总是	/ˈɔːlweɪz/
do	做	/duː/
tennis	网球	/ˈtɛnɪs/
ball	球	/bɔːl/
ping-pong	乒乓球	/ˈpɪŋˌpɔŋ/
bit	一点	/bɪt/
bet	打赌	/bɛt/
soccer	足球	/ˈsɑkər/
let's	让我们	/lɛts/
basketball	篮球	/ˈbæskɪtˌbɔːl/
hey	嘿	/heɪ/
us	我们	/ʌs/
go	去	/ɡoʊ/
we	我们	/wiː/
late	迟	/leɪt/
has	有	/hæz/
get	得到	/ɡɛt/
great	伟大	/ɡreɪt/
play	玩	/pleɪ/
sound	声音	/saʊnd/
interesting	有趣的	/ˈɪntrəstɪŋ/
boring	无聊的	/ˈbɔːrɪŋ/
fun	有趣	/fʌn/
difficult	困难的	/ˈdɪfɪkəlt/
relaxing	放松的	/rɪˈlæksɪŋ/
tv	电视	/ˌtiːˈviː/
same	相同的	/seɪm/
love	爱	/lʌv/
with	和	/wɪθ/
sport	运动	/spɔːrt/
them	他们	/ðɛm/
only	只有	/ˈoʊnli/
like	喜欢	/laɪk/
easy	容易	/ˈiːzi/
after	之后	/ˈæftər/
class	课	/klæs/
classmate	同学	/ˈklæsˌmeɪt/
banana	香蕉	/bəˈnænə/
hamburger	汉堡包	/ˈhæmbɝˌɡɝ/
tomato	番茄	/təˈmeɪtoʊ/
ice-cream	冰淇淋	/ˈaɪsˌkrim/
salad	沙拉	/ˈsæləd/
salt	盐	/sɔːlt/
strawberry	草莓	/ˈstrɔˌbɛri/
pear	梨	/pɛr/
milk	牛奶	/mɪlk/
birthday	生日	/ˈbɜrθˌdeɪ/
dinner	晚餐	/ˈdɪnər/
week	星期	/wiːk/
food	食物	/fuːd/
sure	确定	/ʃʊr/
burger	汉堡	/ˈbɝˌɡɝ/
vegetable	蔬菜	/ˈvɛdʒtəbəl/
fruit	水果	/frut/
right	正确	/raɪt/
apple	苹果	/ˈæpəl/
then	然后	/ðɛn/
egg	鸡蛋	/ɛɡ/
rice	米饭	/raɪs/
chicken	鸡肉	/ˈtʃɪkən/
so	所以	/soʊ/
breakfast	早餐	/ˈbrɛkfəst/
lunch	午餐	/lʌntʃ/
star	星星	/stɑr/
eat	吃	/it/
habit	习惯	/ˈhæbɪt/
healthy	健康	/ˈhɛlθi/
really	真的	/ˈriəli/
question	问题	/ˈkwɛstʃən/
want	想要	/wɑnt/
be	是	/bi/
fat	胖	/fæt/
much	很多	/mʌtʃ/
sock	袜子	/sɑk/
suck	吸	/sʌk/
t-shirt	T恤	/ˈtiˌʃɜrt/
shoe	鞋子	/ʃuː/
skirt	裙子	/skɜrt/
dollar	美元	/ˈdɑlər/
big	大的	/bɪɡ/
small	小的	/smɔːl/
short	短的	/ʃɔːrt/
long	长的	/lɔːŋ/
